"ID","Hora de inicio","Hora de finalización","Indique su Código de Participación","Indique su año de nacimiento","Asco","Ira/enfado","Ansiedad","Miedo","Frustración","Entusiasmo/Excitación","Alegría","Felicidad/placer","Tristeza/depresión","Fatiga/cansancio","Aburrimiento","Satisfacción","Relax","Indiferencia","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo mental tuviste que invertir para alcanzar tu nivel de rendimiento en el juego?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cuánta demanda física sentiste mientras jugabas?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cómo sentiste la rapidez requerida para cumplir con los tiempos impuestos en el juego? ","Del 1 (Muy poco satisfecho/a) al 10 (Muy satisfecho/a): ¿Cómo te sientes con tu rendimiento durante el juego?  ","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo (combinando el mental y físico) tuviste que poner para cumplir con tus expectativas de rendimiento?","Del 1 (Muy bajo) al 10 (Muy alto): ¿En qué medida te sentiste frustrado/a durante el juego?  "
"1","11/4/24 12:10:21","11/4/24 12:11:58","JJ04111142","2000","Nada","Poco","Mucho","Casi nada","Muchísimo","Bastante","Bastante","Mucho","Ni mucho ni poco","Poco","Poco","Bastante","Nada","Casi nada","8","3","6","5","8","8"
"2","11/6/24 9:34:10","11/6/24 9:36:15","ZZ06110900","2001","Nada","Nada","Bastante","Nada","Ni mucho ni poco","Ni mucho ni poco","Poco","Bastante","Casi nada","Ni mucho ni poco","Nada","Ni mucho ni poco","Nada","Poco","8","4","7","8","9","8"
"3","11/7/24 18:58:20","11/7/24 19:00:30","AZ13032024","2002","Nada","Nada","Poco","Nada","Casi nada","Bastante","Bastante","Bastante","Nada","Casi nada","Nada","Bastante","Poco","Nada","8","1","8","7","8","3"
"4","11/11/24 11:28:32","11/11/24 11:30:00","AG11111100","12/07/2003","Nada","Poco","Casi nada","Nada","Bastante","Ni mucho ni poco","Bastante","Ni mucho ni poco","Nada","Nada","Nada","Poco","Mucho","Ni mucho ni poco","8","1","9","2","7","6"
"5","11/13/24 9:30:26","11/13/24 9:32:55","LC13110900","2003","Nada","Nada","Casi nada","Casi nada","Nada","Casi nada","Poco","Poco","Nada","Casi nada","Bastante","Ni mucho ni poco","Bastante","Mucho","2","1","3","7","3","1"
"6","11/21/24 11:15:05","11/21/24 11:16:37","BF14110900","2003","Nada","Nada","Casi nada","Nada","Casi nada","Mucho","Mucho","Mucho","Nada","Casi nada","Nada","Mucho","Ni mucho ni poco","Nada","7","2","3","9","5","1"
"7","11/22/24 9:16:40","11/22/24 9:18:36","TD22110900","2003","Casi nada","Casi nada","Nada","Nada","Casi nada","Poco","Nada","Casi nada","Nada","Casi nada","Nada","Casi nada","Nada","Poco","6","3","3","3","8","4"
"8","11/22/24 11:27:46","11/22/24 11:30:09","JJ22111100","2003","Nada","Casi nada","Poco","Nada","Poco","Bastante","Bastante","Bastante","Casi nada","Ni mucho ni poco","Poco","Bastante","Poco","Poco","6","7","8","9","7","3"
"9","11/28/24 9:24:39","11/28/24 9:26:26","TD22110900","2003","Casi nada","Casi nada","Nada","Nada","Poco","Casi nada","Casi nada","Casi nada","Casi nada","Casi nada","Nada","Casi nada","Nada","Poco","7","3","3","5","6","3"
"10","12/13/24 9:16:45","12/13/24 9:18:09","TD22110900","2003","Nada","Casi nada","Poco","Casi nada","Casi nada","Ni mucho ni poco","Poco","Casi nada","Nada","Poco","Nada","Poco","Nada","Nada","6","7","9","8","8","5"
"11","1/15/25 16:34:25","1/15/25 16:38:18","HP15011600","2005","Nada","Ni mucho ni poco","Poco","Nada","Ni mucho ni poco","Bastante","Bastante","Bastante","Nada","Nada","Nada","Ni mucho ni poco","Poco","Ni mucho ni poco","6","7","8","7","7","6"
"12","1/20/25 11:17:07","1/20/25 11:18:16","TD22110900","2003","Nada","Casi nada","Poco","Poco","Poco","Ni mucho ni poco","Casi nada","Poco","Casi nada","Poco","Nada","Ni mucho ni poco","Nada","Nada","7","4","9","7","7","3"
"13","1/21/25 17:23:49","1/21/25 17:25:21","AD20010029","2002","Nada","Nada","Casi nada","Nada","Poco","Ni mucho ni poco","Ni mucho ni poco","Bastante","Nada","Nada","Poco","Ni mucho ni poco","Bastante","Nada","3","1","7","5","3","3"
"14","1/22/25 8:34:59","1/22/25 9:09:37","CC16012143","2003","Nada","Nada","Nada","Nada","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Nada","Poco","Bastante","Bastante","Ni mucho ni poco","4","1","4","9","4","2"
"15","1/27/25 9:13:31","1/27/25 9:29:05","AP20012327","2005","Nada","Nada","Nada","Nada","Nada","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Poco","Ni mucho ni poco","Ni mucho ni poco","Bastante","Poco","4","3","1","4","4","1"
"16","2/4/25 10:51:36","2/4/25 10:53:12","AA04021030","2001","Mucho","Nada","Nada","Nada","Nada","Casi nada","Casi nada","Casi nada","Nada","Nada","Mucho","Casi nada","Nada","Mucho","1","1","5","2","1","1"
"17","2/12/25 18:54:52","2/12/25 18:58:02","JR12021800","2003","Nada","Nada","Ni mucho ni poco","Nada","Poco","Poco","Ni mucho ni poco","Poco","Nada","Nada","Nada","Bastante","Poco","Casi nada","8","4","7","10","7","3"
"18","2/18/25 11:43:20","2/18/25 11:45:05","DR18021120","2002","Ni mucho ni poco","Bastante","Bastante","Casi nada","Bastante","Poco","Casi nada","Casi nada","Casi nada","Casi nada","Nada","Casi nada","Casi nada","Nada","9","1","8","4","8","9"
"19","2/20/25 16:47:56","2/20/25 16:51:15","KT18021325","2004","Nada","Nada","Poco","Nada","Casi nada","Bastante","Mucho","Mucho","Nada","Casi nada","Nada","Bastante","Muchísimo","Nada","8","4","7","8","7","5"
"20","2/21/25 9:24:31","2/21/25 9:48:06","RS5051958","12/04/1998","Bastante","Poco","Casi nada","Nada","Poco","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Nada","Nada","Poco","Casi nada","Mucho","3","1","1","8","2","4"
"21","2/21/25 11:30:30","2/21/25 11:32:31","Pv21021100","2000","Nada","Casi nada","Casi nada","Casi nada","Poco","Mucho","Mucho","Bastante","Casi nada","Casi nada","Nada","Mucho","Mucho","Casi nada","7","1","6","8","7","4"
"22","2/21/25 13:28:09","2/21/25 13:30:08","JC21021300","2002","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Nada","Bastante","Ni mucho ni poco","Ni mucho ni poco","Bastante","Nada","Poco","Nada","Ni mucho ni poco","Poco","Casi nada","5","1","4","4","5","7"
"23","2/25/25 17:23:30","2/25/25 17:24:55","FG25021700","2007","Nada","Nada","Nada","Nada","Nada","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Poco","Nada","Nada","Ni mucho ni poco","Ni mucho ni poco","4","3","2","6","5","4"
"24","2/26/25 11:01:28","2/26/25 11:04:47","RA26021030","2003","Nada","Nada","Nada","Nada","Casi nada","Bastante","Bastante","Bastante","Nada","Nada","Poco","Bastante","Poco","Casi nada","5","1","5","7","5","2"
"25","2/27/25 10:16:08","2/27/25 10:46:49","RM27021030","2002","Nada","Nada","Nada","Nada","Nada","Ni mucho ni poco","Bastante","Bastante","Nada","Casi nada","Casi nada","Bastante","Bastante","Poco","6","1","8","3","5","3"
"26","2/27/25 11:28:18","2/27/25 11:51:06","MY27021130","07/11/2000","Ni mucho ni poco","Poco","Poco","Nada","Ni mucho ni poco","Casi nada","Casi nada","Casi nada","Ni mucho ni poco","Poco","Mucho","Poco","Ni mucho ni poco","Mucho","10","3","8","5","8","7"
"27","3/5/25 12:37:15","3/5/25 12:39:22","ZZ04110900","1999","Nada","Casi nada","Poco","Nada","Poco","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Nada","Poco","Ni mucho ni poco","Casi nada","Nada","6","1","3","7","6","5"
"28","3/6/25 9:37:17","3/6/25 9:39:16","GC060325","01/11/2005","Nada","Nada","Nada","Nada","Poco","Casi nada","Casi nada","Casi nada","Nada","Nada","Bastante","Casi nada","Ni mucho ni poco","Muchísimo","3","1","4","3","3","2"
"29","3/12/25 17:02:51","3/12/25 17:05:45","CC12031630","2005","Nada","Casi nada","Poco","Nada","Poco","Mucho","Mucho","Muchísimo","Nada","Nada","Nada","Mucho","Poco","Casi nada","9","2","7","10","8","6"
"30","3/12/25 18:02:12","3/12/25 18:04:40","AC12031800","2005","Nada","Poco","Poco","Nada","Bastante","Mucho","Bastante","Bastante","Nada","Nada","Nada","Ni mucho ni poco","Poco","Nada","9","3","8","7","8","7"
"31","3/13/25 16:58:47","3/13/25 17:02:13","CM13031630","2005","Nada","Nada","Casi nada","Nada","Bastante","Poco","Ni mucho ni poco","Bastante","Nada","Nada","Nada","Bastante","Poco","Nada","4","2","5","4","4","4"
"32","3/14/25 11:27:21","3/14/25 11:28:36","AP13032333","2002","Nada","Nada","Casi nada","Nada","Casi nada","Nada","Nada","Nada","Nada","Ni mucho ni poco","Bastante","Nada","Nada","Mucho","8","1","7","2","7","4"
"33","3/14/25 12:20:32","3/14/25 12:21:53","CA13032312","2003","Nada","Nada","Casi nada","Nada","Ni mucho ni poco","Mucho","Mucho","Mucho","Nada","Casi nada","Nada","Bastante","Poco","Poco","7","2","8","10","6","3"
"34","3/26/25 17:08:19","3/26/25 17:10:31","Jk20030930","2004","Casi nada","Poco","Ni mucho ni poco","Nada","Poco","Poco","Casi nada","Bastante","Nada","Casi nada","Bastante","Bastante","Poco","Casi nada","7","2","3","8","6","5"
"35","3/27/25 9:47:43","3/27/25 9:56:31","LR27030900","2003","Nada","Nada","Ni mucho ni poco","Nada","Ni mucho ni poco","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Nada","Nada","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","3","1","2","4","3","5"
"36","3/27/25 16:16:33","3/27/25 16:58:55","CM27031630","2005","Nada","Nada","Ni mucho ni poco","Nada","Ni mucho ni poco","Mucho","Mucho","Mucho","Nada","Nada","Nada","Bastante","Nada","Casi nada","8","3","9","6","7","7"
"37","3/28/25 13:37:53","3/28/25 13:49:43","AG28031330","2003","Casi nada","Ni mucho ni poco","Muchísimo","Mucho","Bastante","Muchísimo","Mucho","Muchísimo","Nada","Mucho","Nada","Mucho","Poco","Casi nada","7","3","9","9","9","7"
"38","3/31/25 9:22:29","3/31/25 9:25:33","PP31030900","2005","Nada","Nada","Poco","Casi nada","Poco","Bastante","Bastante","Bastante","Nada","Casi nada","Casi nada","Ni mucho ni poco","Mucho","Ni mucho ni poco","4","2","1","8","4","1"
"39","4/3/25 9:15:53","4/3/25 9:18:01","AM03040900","2005","Poco","Ni mucho ni poco","Ni mucho ni poco","Casi nada","Ni mucho ni poco","Bastante","Bastante","Mucho","Casi nada","Poco","Nada","Bastante","Poco","Ni mucho ni poco","9","7","7","7","8","7"
"40","4/3/25 13:06:05","4/3/25 13:10:27","PP03041230","28/11/2005","Nada","Nada","Poco","Nada","Ni mucho ni poco","Mucho","Muchísimo","Mucho","Nada","Nada","Nada","Mucho","Bastante","Ni mucho ni poco","8","2","3","8","6","4"
"41","4/3/25 16:59:52","4/3/25 17:01:12","DL03041630","2005","Nada","Ni mucho ni poco","Ni mucho ni poco","Nada","Bastante","Mucho","Mucho","Mucho","Nada","Casi nada","Nada","Mucho","Poco","Casi nada","10","2","7","9","9","4"
"42","4/7/25 16:51:09","4/7/25 16:52:44","LD07041630","2005","Nada","Casi nada","Poco","Nada","Ni mucho ni poco","Mucho","Bastante","Bastante","Casi nada","Nada","Nada","Bastante","Ni mucho ni poco","Casi nada","8","4","9","7","7","5"
"43","4/8/25 11:05:48","4/8/25 11:07:29","AM08041050","2003","Nada","Casi nada","Mucho","Nada","Poco","Ni mucho ni poco","Bastante","Bastante","Nada","Nada","Nada","Poco","Nada","Nada","4","1","4","7","5","3"
"44","4/8/25 12:32:32","4/8/25 12:34:13","MC08041200","2004","Nada","Nada","Poco","Nada","Bastante","Mucho","Mucho","Mucho","Nada","Nada","Casi nada","Mucho","Poco","Casi nada","4","4","5","9","6","6"
"45","4/8/25 13:32:49","4/8/25 13:34:24","EG08041310","2006","Ni mucho ni poco","Mucho","Bastante","Ni mucho ni poco","Mucho","Casi nada","Casi nada","Casi nada","Poco","Nada","Nada","Nada","Nada","Nada","7","8","8","1","1","9"
"46","4/23/25 17:01:54","4/23/25 17:03:40","MD23041630","2005","Nada","Nada","Casi nada","Nada","Casi nada","Poco","Poco","Poco","Nada","Nada","Poco","Ni mucho ni poco","Mucho","Mucho","6","2","4","6","4","2"
"47","4/23/25 18:14:28","4/23/25 18:15:50","FF23041800","19/04/2005","Nada","Nada","Casi nada","Nada","Casi nada","Bastante","Bastante","Bastante","Nada","Nada","Nada","Bastante","Bastante","Nada","6","4","7","7","6","3"
"48","5/14/25 8:55:38","5/14/25 9:26:56","1405900NGR","1999","Nada","Nada","Nada","Nada","Casi nada","Mucho","Mucho","Poco","Nada","Ni mucho ni poco","Ni mucho ni poco","Poco","Casi nada","Casi nada","7","2","7","3","8","6"
"49","7/8/25 10:34:31","7/8/25 10:36:44","CB08071000","2001","Nada","Casi nada","Poco","Nada","Poco","Ni mucho ni poco","Poco","Poco","Casi nada","Poco","Poco","Casi nada","Nada","Ni mucho ni poco","6","4","4","2","6","4"
"50","7/8/25 11:27:38","7/8/25 11:28:54","CG08071130","2003","Nada","Casi nada","Poco","Nada","Poco","Bastante","Ni mucho ni poco","Bastante","Poco","Poco","Nada","Poco","Poco","Nada","7","3","7","6","6","7"
"51","7/16/25 11:18:30","7/16/25 11:20:21","Pm11071100","2004","Casi nada","Poco","Ni mucho ni poco","Nada","Ni mucho ni poco","Bastante","Bastante","Bastante","Nada","Nada","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Poco","7","1","10","3","7","8"
